,source_url,Rank,Name,Market Capitalisation,Price,Circulating Supply,Ticker,24 h change
44,https://coinmarketcap.com/historical/20130504/,7,Terracoin,"$1,428,990.48",$0.5962,"2,396,630",TRC,9.36%
45,https://coinmarketcap.com/historical/20130504/,8,Devcoin,"$1,197,959.97",$0.0002722,"4,400,220,160",DVC,19.30%
46,https://coinmarketcap.com/historical/20130504/,9,Novacoin,"$959,422.35",$3.49,"275,103",NVC,18.76%
47,https://coinmarketcap.com/historical/20130504/,10,Mincoin,"$299,107.19",$0.2927,"1,021,763",MNC,104.39%
48,https://coinmarketcap.com/historical/20130505/,1,Bitcoin,"$1,288,693,216.22",$115.91,"11,118,050",BTC,2.97%
49,https://coinmarketcap.com/historical/20130505/,2,Litecoin,"$62,298,217.32",$3.59,"17,348,954",LTC,2.87%
50,https://coinmarketcap.com/historical/20130505/,3,Namecoin,"$6,290,543.05",$1.15,"5,465,350",NMC,8.91%
51,https://coinmarketcap.com/historical/20130505/,4,Peercoin,"$5,718,446.46",$0.3037,"18,830,240",PPC,2.61%
52,https://coinmarketcap.com/historical/20130505/,5,Feathercoin,"$2,017,436.23",$0.313,"6,444,650",FTC,-29.71%
53,https://coinmarketcap.com/historical/20130505/,6,Freicoin,"$1,627,438.51",$0.08114,"20,057,908",FRC,-23.15%
54,https://coinmarketcap.com/historical/20130505/,7,Terracoin,"$1,367,162.39",$0.568,"2,407,150",TRC,-3.05%
55,https://coinmarketcap.com/historical/20130505/,8,Devcoin,"$1,052,081.53",$0.0002388,"4,406,170,112",DVC,-12.41%
56,https://coinmarketcap.com/historical/20130505/,9,Novacoin,"$1,015,804.46",$3.69,"275,503",NVC,5.17%
57,https://coinmarketcap.com/historical/20130505/,10,Mincoin,"$118,657.23",$0.1159,"1,023,701",MNC,-60.48%
58,https://coinmarketcap.com/historical/20130506/,1,Bitcoin,"$1,249,023,178.80",$112.30,"11,122,200",BTC,-3.25%
59,https://coinmarketcap.com/historical/20130506/,2,Litecoin,"$58,594,297.59",$3.37,"17,380,604",LTC,-6.38%
60,https://coinmarketcap.com/historical/20130506/,3,Namecoin,"$5,377,759.60",$0.9826,"5,472,850",NMC,-13.88%
61,https://coinmarketcap.com/historical/20130506/,4,Peercoin,"$4,654,595.87",$0.2471,"18,839,940",PPC,-18.80%
